CC,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,0,0,0,0,0,0,0,0,0,0,0.774284373533552,0.638012088650101,0.581793292265572,0.494783263418307,0.584058634906093,0.786892314325752,0.818330605564648,0.878378378378378,0.844260822705227,0.89354097523615,0.918350308899649,1.15407295088872,1.64765525982256,1.48921982662814,1.38888888888889,1.89907759088443,1.73306900300569,1.93319538870825,1.80225703217113,5.2416721097322,5.17509142828516,7.794124223047,7.29075532225139,7.06571191201488,6.70424947372177,5.65515894966323,5.234705829354,3.26959362415162,2.63089346183902,2.34792155297171,4.87879429122287,4.46749559204048,3.87366802622307,3.97984689892204,3.423900617331,2.59942154736081,4.62322035926097,5.22745544687123,7.16873620763479,4.26746533408346,7.62558397881698,7.54541153531849,8.65393827413947,9.8468508796918,10.3067600577621,0,0,0
CHN,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109453569152121,0.0110680686220255,0.0172397788003766,0.0170563180538145,0.0544037403918147,0.306077701073703,0.151818114493076,0.258740298339273,0.245310492505353,0.244449874871666,0.234116031268578,0.225125915882316,0.209592277428357,0.190500613631784,0.178624752779893,0.297304582425836,0.387166018714885,0.4780013346375,0.86000602794486,1.29233409626383,1.67266113345932,2.13764019808449,2.65749545963463,3.5648783506209,4.05731285117844,0,0,0,0
CIV,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94192377495463,1.93627882415068,1.98054818744474,2.04226602734861,2.03448275862069,1.22636688809402,1.15674769488684,1.04935235284473,0.940706955530217,0.888888888888889,0.844798455225682,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5930278104191,1.44955178333015,1.35539517690547,1.22773646896075,1.00016952025767,1.02641763419149,1.08566581849025,1.10121457489879,1.04016180294713,0,0,0,0
 Dem. Rep.,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
 Rep.,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
COL,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.46160389761039,1.47380709178462,1.25843874942649,1.1864309163163,1.13654301499605,1.11024161205126,1.02035905087356,1.04138490668109,1.02161100196464,1.00814422392662,0.995265963395087,0.90383961943595,0.850874686478077,0.830001211680601,0.783528738919073,0.75363753885084,0.727223573938902,1.03205439533754,1.00884359034207,1.07223067449105,1.11667759153479,1.14385867810525,1.08283824683331,1.18493440541684,1.06720844425762,1.15014492753623,1.14175222135261,1.09009369033347,1.0635783502718,1.04386652989803,1.09660885630848,1.10294801450758,1.05207880631609,1.05652686903357,1.04813732523754,4.13301023155627,3.34398819768871,3.22114921877506,3.03344419009776,3.14788329519451,0,0,0,0
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,0,0,0,0.871080139372822,0.552486187845304,0.519673348181143,0.476839237057221,0.522534291312867,0.485731633272617,0.568181818181818,0.415584415584416,0.450676014021032,0.449236298292902,0.422832980972516,0.405844155844156,0.348432055749129,0.32605151613955,0.355113636363636,0.339097999321804,0.319182891797,0.313185092389602,0.0,0.0,0.25879917184265,9.87377850162867,9.87377850162867,9.87377850162867,9.93648842450318,11.3286130778842,11.2635893780075,12.6547201182339,14.713499514406,16.9966758202052,17.5982209043736,19.0431893687708,17.093787736482,18.088861838101,17.227602905569,17.9717143842704,17.2265193370166,14.8933924424741,17.561761546724,17.5310445580716,18.653376729048,20.7489679575388,21.3776257938447,24.0481550357248,0,0,0,0
CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,0,0,0,0,16.2749003984064,12.2414120326438,12.5963559915908,12.2279448413358,11.4754098360656,10.7435719249479,10.85009733939,11.2682696841113,10.1893214209743,9.55050555611172,9.21985815602837,9.44725433526012,9.39231301939058,9.15303880888455,9.27125174194606,8.9936247723133,8.8648569116457,9.05652592490717,8.39950127961152,9.64456869009585,9.54178304521778,11.5877968452071,8.06217051445192,7.4968658587547,5.53816518179629,6.96585071018435,6.15014845185918,5.50607859768165,6.0792161192382,6.27993613624268,6.07882868161318,5.98127269252819,4.55407969639469,5.04669310477165,2.73758310520141,2.46523771935151,2.3604176123468,3.19022569149839,3.07319273711515,2.68437086854055,2.66891891891892,3.10939874104623,3.68861024033438,3.48032634514097,0,0,0,0
CUW,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88008800880088,0.82389289392379,0.792864222001982,0.784313725490196,0.76555023923445,0.72007200720072,0.718778077268643,0.713648528099911,2.92237442922374,2.7898866608544,2.70956816257409,2.64462809917355,2.56410256410256,2.62725779967159,2.54777070063694,2.57648953301127,2.4653312788906,2.41874527588813,2.41509433962264,3.48964013086151,3.53982300884956,3.59147025813693,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228466986520448,0.0214961306964746,0.0615889960993636,0.295333727111636,0.594439117929051,1.37166478767381,3.6112801785352,5.44837820648717,7.62237762237762,7.28735632183908,0,0,0,0
CZE,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274491083302077,0.549761085135899,0.668592653735039,0.457515315795246,0.769266705078095,0.908331270116366,1.05519100983494,0.721427493793803,0.704528922057278,0.665833278505165,0.598918083462133,0.861678004535147,0.917845504143731,1.1595380974012,1.50517296385762,2.0525214630979,2.72347821829443,3.648659735815,6.08450379921713,6.83540222472997,7.6311513463324,8.54752153650614,9.67909842514919,0,0,0
DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823911572006439,0.845839101112608,0.81444196125257,0.777877505663119,0.267818508153614,0.287411730984704,0.296851382103018,0.286584063485059,0.282382459696322,0.2827365994187,0.611570956812626,0.627275584356166,0.56503933912828,0.517816320966423,0.525601460953475,0.544029506685108,0.498262787626985,0.434899814691583,0.434282748044722,0.455689571346814,0.304391490915731,0.389678738993629,0.438096808526586,0.505658513991736,0.666977656343713,0.779258803259674,0.83422463777327,1.0410374974225,1.39144602851324,1.64149526282927,2.40130837496265,2.60566502717027,3.66919034837805,4.61710760218223,5.9790052445979,6.9611886976291,8.15985282868576,10.5972733140486,11.4767174248873,12.8527745666699,13.3830633770785,17.4731731738326,19.5125040483039,20.4390586859838,22.9807472770598,27.4254433589484,0,0,0
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146929180135175,0.027135814752838,0.0410984494675883,0.0556595658553863,0.0800809238809745,0.270526173407277,0.291107974594213,0.298517705188032,0.57499269077088,0.796907321374072,1.32525828286427,2.41573278681376,3.06750827495959,2.82391572034478,4.3073719825623,4.64767174898452,4.21410616590271,4.95402361390718,3.84457467059834,6.56662529617511,9.48118599956218,11.1716341212744,15.3718137186919,15.4204988205359,17.1990734848678,17.4446802061231,23.4889702245524,27.0071180268168,20.1223389094736,26.1394851968664,27.5016386279222,27.6062996454388,31.9283618959395,40.205512503903,48.27204325592,45.9464902186421,55.827610850449,60.6961364427428,0,0,0
DOM,0,0,0,0,0,0,0,0,0,0,4.36029833620195,4.4457617071725,3.33926981300089,3.601108033241,3.20723684210526,3.37309749074455,2.86532951289398,2.78357689631176,2.6266416510319,2.30202578268877,2.26176115802171,2.87572749058542,2.72807274860663,3.52878747678429,1.19760479041916,1.15553501271089,1.11516191293159,0.769230769230769,0.768049155145929,0.676041103299081,0.641848523748395,0.465866332198531,0.653838968802541,0.796037502211215,0.748584991783823,0.604686318972033,0.66334991708126,0.74229158736201,0.633373934226553,0.645562728474761,0.679402126129007,0.636616420313186,0.659775676270068,0.760688991868497,0.732918275671842,0.706917694582702,0.70383275261324,0.718595349467833,0.827365639991657,0.932568149210904,1.13857960621501,1.08316069843149,1.04072398190045,4.72729230603564,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
